No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Company,Industry,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Industry,Country,Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
11,AAON,"AAON, Inc.",Industrial Goods,General Building Materials,USA,1843.91,33.51,31.14,2.79,4.73,8.88,44.54,58.91,0.76%,11.00%,1.03,5.20%,8.14%,16.90%,12.00%,8.00%,21.00%,10.80%,"AAON, Inc.",General Building Materials,40.66,19.40%,-0.13%,64.70%,6.50%,3.93%,11.76,21.40%,27.50%,25.50%,3.3,2.3,0,0,31.10%,20.20%,13.50%,0.00%,6.51%,6.44%,General Building Materials,USA,65.11%,3.93%,1.04,0.73,1.96%,1.91%,0.67%,2.70%,16.25%,-2.00%,7.48%,-2.00%,73.12%,53.94,-1.86%,0.14%,3,135.81,1.23,34.35,-1.72%,166861,2/23/2017 8:30
12,AAP,"Advance Auto Parts, Inc.",Services,Auto Parts Stores,USA,11856.74,26.5,20.64,2.62,1.25,4.17,99.22,41.81,0.15%,3.90%,6.1,-4.60%,7.99%,10.10%,10.13%,10.40%,-5.70%,-2.00%,"Advance Auto Parts, Inc.",Auto Parts Stores,73.21,0.20%,118.25%,,-1.13%,6.76%,5.6,5.40%,16.80%,14.90%,1.4,0.2,0.37,0.37,44.70%,8.20%,4.70%,-1.51%,-5.90%,-0.83%,Auto Parts Stores,USA,12.67%,-4.46%,1.04,3.32,1.78%,2.01%,-1.54%,-4.46%,1.94%,-9.11%,2.41%,-9.11%,21.65%,40.33,0.60%,-0.24%,2.4,884.23,1.77,161.58,0.37%,1561344,2/21/2017 8:30
13,AAPC,Atlantic Alliance Partnership Corp.,Conglomerates,Conglomerates,USA,66.36,,,,,1.19,,,,,-0.8,,,,,,,,Atlantic Alliance Partnership Corp.,Conglomerates,,80.70%,,3.40%,-98.65%,,0.12,,,,0.1,0.1,0,0,,,,158.82%,,,Conglomerates,USA,,144.94%,,4.36,49.61%,,141.41%,141.41%,141.41%,-29.80%,223.53%,-29.80%,223.53%,,42.35%,0.00%,,1.08,8.53,25.62,42.35%,9207,3/22/2017
14,AAPL,Apple Inc.,Consumer Goods,Electronic Equipment,USA,719134.28,16.25,13.4,1.76,3.3,5.43,11.86,17.91,1.68%,26.60%,8.35,-9.90%,13.38%,16.00%,9.25%,14.80%,2.30%,3.30%,Apple Inc.,Electronic Equipment,5240.61,0.10%,-24.29%,61.10%,0.42%,0.90%,1.59,14.30%,34.90%,20.60%,1.2,1.2,0.56,0.66,38.50%,27.10%,20.70%,2.72%,13.80%,23.93%,Electronic Equipment,USA,44.30%,17.69%,1.19,1.47,0.95%,0.99%,6.65%,12.63%,25.47%,-0.40%,24.87%,-0.40%,53.96%,89.57,0.46%,-0.18%,1.9,29579.36,0.75,135.72,0.27%,22150433,1/31/2017 16:30
15,AAT,"American Assets Trust, Inc.",Financial,REIT - Retail,USA,1976.4,76.73,37.57,25.58,6.7,2.43,44.12,,2.41%,140.50%,0.56,-40.20%,22.99%,54.90%,3.00%,7.80%,-21.00%,7.10%,"American Assets Trust, Inc.",REIT - Retail,45.2,0.80%,69.84%,93.10%,0.86%,1.24%,2.78,1.60%,4.10%,5.20%,,,1.31,1.31,63.40%,33.20%,11.00%,-1.59%,0.93%,8.06%,REIT - Retail,USA,22.97%,0.28%,0.58,0.71,1.76%,1.72%,0.25%,0.73%,2.97%,-2.06%,9.20%,-5.70%,24.81%,50.85,-0.92%,0.88%,2,200.78,0.93,43.2,-0.05%,186811,2/14/2017 16:30
16,AAU,Almaden Minerals Ltd.,Basic Materials,Gold,Canada,106.79,,,,355.98,2.81,,,,,-0.03,93.10%,,25.40%,,5.30%,-146.50%,43.30%,Almaden Minerals Ltd.,Gold,74.65,7.20%,0.00%,5.90%,76.08%,2.15%,5.12,-8.30%,-8.80%,-3.20%,29.4,,0,0,,,,-1.63%,21.00%,1.68%,Gold,Canada,55.13%,24.74%,-0.22,0.06,3.80%,4.87%,6.56%,15.04%,-3.14%,-6.92%,61.33%,-35.64%,89.06%,62.14,-1.63%,-0.81%,,313.74,0.61,1.21,-2.42%,191469,3/28/2017 16:30
17,AAV,Advantage Oil & Gas Ltd.,Basic Materials,Oil & Gas Drilling & Exploration,Canada,1223.42,220.69,19.34,3.56,12.43,1.27,,72.82,,0.00%,0.03,-71.50%,819.44%,-12.90%,61.91%,-14.30%,8.30%,22.40%,Advantage Oil & Gas Ltd.,Oil & Gas Drilling & Exploration,183.31,0.70%,0.00%,58.00%,3.52%,1.75%,30.52,0.40%,0.50%,1.50%,1.4,1.4,0.15,0,83.80%,3.60%,4.30%,-1.54%,0.79%,-5.88%,Oil & Gas Drilling & Exploration,Canada,21.67%,-5.19%,1.13,0.21,2.54%,3.08%,-0.89%,-3.44%,-1.91%,-15.23%,7.02%,-18.78%,32.78%,46.93,-2.29%,-0.76%,2,104.98,0.65,6.4,-3.03%,67970,3/2/2017 16:30
18,AAWW,"Atlas Air Worldwide Holdings, Inc.",Services,"Air Services, Other",USA,1350.56,,10.88,,0.76,0.9,13.14,,,,-0.96,-93.10%,10.73%,-44.30%,10.00%,6.40%,41.30%,-0.40%,"Atlas Air Worldwide Holdings, Inc.","Air Services, Other",24.37,2.60%,-12.81%,,0.26%,3.40%,4.6,-0.60%,-1.70%,2.30%,0.6,0.6,1.14,1.26,77.10%,2.50%,-1.40%,3.47%,5.60%,8.92%,"Air Services, Other",USA,52.77%,2.97%,1.32,1.34,2.49%,2.51%,2.19%,3.01%,20.16%,-2.19%,7.62%,-7.05%,60.92%,56.93,-0.46%,-0.09%,2.1,179.93,0.75,53.7,-0.56%,135535,2/23/2017 8:30
19,AAXJ,iShares MSCI All Country Asia ex Japan,Financial,Exchange Traded Fund,USA,,,,,,,,,1.67%,,,,,,,,,,iShares MSCI All Country Asia ex Japan,Exchange Traded Fund,,,,,,,1.22,,,,,,,,,,,0.61%,5.50%,8.97%,Exchange Traded Fund,USA,23.28%,10.30%,,0.36,0.57%,0.51%,2.02%,5.27%,6.16%,-0.48%,12.41%,-1.69%,25.39%,76.36,0.30%,-0.48%,,1136.97,0.63,60.59,-0.18%,721524,
20,AB,AllianceBernstein Holding L.P.,Financial,Asset Management,USA,2305.29,10.74,11.59,4.01,9.63,1.48,,,7.44%,77.40%,2.25,20.30%,9.89%,34.90%,2.68%,,52.10%,42.60%,AllianceBernstein Holding L.P.,Asset Management,89.76,0.50%,0.00%,25.60%,2.03%,0.87%,2.23,14.20%,14.20%,14.10%,,,0,0,,100.00%,90.50%,3.42%,4.76%,4.09%,Asset Management,USA,37.03%,3.20%,1.47,0.56,2.45%,1.85%,3.20%,3.63%,8.12%,-3.20%,9.75%,-3.20%,41.57%,60.08,1.47%,0.00%,3.2,351.04,1.19,24.2,1.47%,419038,2/14/2017 8:30
21,ABAC,"Aoxin Tianli Group, Inc.",Consumer Goods,Farm Products,China,26,9.68,,,0.75,0.25,0.48,,,,0.28,-23.70%,,-36.70%,,11.90%,-253.50%,-15.20%,"Aoxin Tianli Group, Inc.",Farm Products,2.66,,,1.00%,11.59%,0.01%,0.02,,,2.70%,8.3,7.6,0,0.03,20.20%,,,-24.16%,-26.03%,-4.59%,Farm Products,China,5.88%,-25.41%,2.15,0.25,11.41%,7.74%,-24.50%,-24.82%,-8.79%,-33.66%,-11.18%,-33.66%,78.81%,24.11,-14.83%,-2.46%,,15.45,8.57,2.7,-16.92%,132435,3/13/2017 16:30
22,ABAX,"Abaxis, Inc.",Healthcare,Medical Laboratories & Research,USA,1105.43,33.71,36.12,3.37,4.89,4.32,8.01,73.21,1.13%,32.40%,1.47,48.70%,7.76%,16.40%,10.00%,8.80%,-13.40%,-0.20%,"Abaxis, Inc.",Medical Laboratories & Research,21.58,3.40%,-5.35%,,0.07%,10.83%,12.87,12.00%,13.70%,12.80%,7.7,6.4,0,0,55.70%,20.20%,15.10%,-1.19%,2.43%,-4.97%,Medical Laboratories & Research,USA,27.43%,-5.89%,0.89,1.34,1.81%,2.51%,0.10%,-2.85%,0.48%,-11.24%,10.36%,-11.24%,32.21%,48.13,1.12%,0.12%,3.2,181.48,0.5,49.66,1.24%,91190,1/26/2017 16:30
23,ABB,ABB Ltd,Industrial Goods,Diversified Machinery,Switzerland,50548.35,25.24,16.44,3.85,1.49,3.62,8.91,16.29,3.29%,0.00%,0.9,4.40%,17.13%,-8.10%,6.55%,-2.30%,146.80%,-2.70%,ABB Ltd,Diversified Machinery,1988.85,,,3.30%,5.97%,0.36%,3.17,4.80%,14.40%,11.20%,1.4,1.1,0.43,0.5,28.80%,9.00%,5.80%,-0.26%,1.15%,9.29%,Diversified Machinery,Switzerland,33.00%,8.31%,1.22,0.27,0.73%,0.79%,-1.87%,2.96%,7.32%,-4.52%,9.71%,-4.52%,37.63%,49.84,0.35%,-1.17%,2.8,2264,0.82,22.82,-0.83%,1859657,2/8/2017 8:30
24,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - Major,USA,99911.12,16.92,9.6,1.18,3.9,21.52,15.56,35.12,4.14%,62.10%,3.65,16.20%,17.25%,10.90%,14.38%,8.00%,-7.30%,6.20%,AbbVie Inc.,Drug Manufacturers - Major,1617.47,0.10%,-3.56%,68.10%,-1.91%,1.92%,4.35,9.40%,111.30%,18.00%,1.7,1.5,7.86,7.95,77.30%,36.60%,23.20%,2.23%,0.64%,1.39%,Drug Manufacturers - Major,USA,18.13%,-0.36%,1.56,0.96,1.55%,1.53%,1.53%,0.71%,0.62%,-3.27%,6.11%,-7.56%,20.21%,57.55,0.37%,0.10%,2.5,7125.79,1.14,61.77,0.47%,8124438,1/27/2017 8:30
25,ABC,AmerisourceBergen Corporation,Services,Drugs Wholesale,USA,19625.04,15.17,14.13,1.63,0.13,9.38,10.96,32.83,1.61%,21.90%,5.98,3.70%,10.08%,20.30%,9.31%,13.30%,-23.40%,4.00%,AmerisourceBergen Corporation,Drugs Wholesale,159.75,0.20%,-24.82%,69.80%,-4.74%,9.21%,6.31,4.10%,64.70%,23.70%,0.9,0.5,1.83,2.12,2.80%,1.40%,0.90%,-0.05%,6.62%,16.09%,Drugs Wholesale,USA,6.31%,16.54%,0.87,2.3,2.67%,2.70%,3.62%,9.03%,12.42%,-3.57%,23.37%,-3.57%,33.88%,65.51,0.58%,-0.09%,2.3,2331.79,0.61,90.76,0.49%,1429215,1/31/2017 8:30
26,ABCB,Ameris Bancorp,Financial,Regional - Mid-Atlantic Banks,USA,1695.53,23.54,14.87,2.94,7.09,2.63,7.44,,0.82%,12.00%,2.07,63.40%,22.40%,22.30%,8.00%,11.10%,18.80%,19.80%,Ameris Bancorp,Regional - Mid-Atlantic Banks,33.8,1.20%,0.25%,80.30%,-0.88%,2.46%,4.52,1.10%,11.50%,14.90%,,,0.89,0.89,,90.10%,30.20%,4.95%,15.38%,16.33%,Regional - Mid-Atlantic Banks,USA,87.18%,11.81%,1.39,1.07,1.89%,2.22%,6.65%,8.57%,32.48%,0.41%,17.19%,0.41%,93.82%,71.41,0.72%,-0.31%,2.7,184.21,1.12,48.75,0.41%,205498,1/20/2017 8:30
27,ABCD,"Cambium Learning Group, Inc.",Services,Education & Training Services,USA,215.42,48.48,,,1.43,,18.41,9.66,,0.00%,0.1,86.70%,,39.50%,,-4.40%,94.00%,4.50%,"Cambium Learning Group, Inc.",Education & Training Services,13.5,71.47%,-0.03%,14.30%,4.49%,0.65%,1.95,3.30%,-6.60%,43.40%,0.5,0.5,,,68.00%,8.90%,3.10%,-2.83%,-6.25%,-4.57%,Education & Training Services,USA,21.21%,-3.81%,0.02,0.18,2.89%,3.28%,-4.99%,-4.13%,-2.12%,-11.93%,12.94%,-18.02%,23.97%,38.8,2.35%,0.21%,2,45.24,1.34,4.8,2.56%,60413,3/2/2017 8:30
28,ABCO,The Advisory Board Company,Services,Business Services,USA,1897.23,,24.17,,2.36,3.93,,31.99,,,-1.17,17.20%,8.04%,-35.60%,13.48%,22.10%,5486.00%,0.10%,The Advisory Board Company,Business Services,39.58,0.30%,-37.65%,,4.30%,7.86%,4.67,-2.60%,-11.30%,-6.90%,1,1,1.11,1.19,50.20%,-5.00%,-6.30%,-2.33%,11.07%,30.55%,Business Services,USA,23.36%,38.80%,1.16,1.25,1.82%,2.59%,0.68%,17.79%,19.87%,-9.92%,47.92%,-9.92%,144.57%,65.37,-1.60%,-0.74%,2.1,666.49,1.1,46.15,-2.33%,735950,2/28/2017 16:30
29,ABDC,Alcentra Capital Corporation,Financial,Asset Management,USA,,14.36,8.51,,,0.88,,,,,0.88,9.10%,-4.50%,,,,,,Alcentra Capital Corporation,Asset Management,,,,,,,2.2,,,,,,,,,,,3.17%,1.85%,14.31%,Asset Management,USA,54.56%,5.93%,,0.3,2.64%,2.38%,3.24%,3.85%,7.00%,-1.63%,12.73%,-2.24%,56.95%,61.53,-1.55%,0.62%,2.5,51.8,0.94,12.68,-0.94%,48924,3/8/2017 16:30
30,ABE,"Aberdeen Emerging Markets Smaller Company Opportunities Fund, Inc.",Financial,Exchange Traded Fund,USA,,,,,,,,,,,,,,,,,,,"Aberdeen Emerging Markets Smaller Company Opportunities Fund, Inc.",Exchange Traded Fund,,,,,,,0.15,,,,,,,,,,,-0.25%,4.81%,5.92%,Exchange Traded Fund,USA,16.11%,6.58%,,0.15,1.12%,1.16%,1.13%,4.03%,-0.21%,-3.93%,10.00%,-6.98%,16.56%,61.05,0.67%,-0.75%,,22.2,1.37,11.99,-0.08%,30507,
31,ABEO,Abeona Therapeutics Inc.,Healthcare,Biotechnology,USA,245.82,,,,307.28,3.14,7.88,,,,-0.52,96.60%,-5.10%,55.40%,,16.70%,58.70%,-33.30%,Abeona Therapeutics Inc.,Biotechnology,23.61,1.50%,0.00%,36.40%,103.76%,14.55%,10.49,-22.50%,-26.60%,-27.40%,4.9,4.9,0,0,,,,17.65%,20.00%,-14.29%,Biotechnology,USA,127.27%,23.71%,1.94,0.41,10.04%,7.16%,18.58%,17.44%,30.02%,-6.25%,48.15%,-36.44%,192.68%,67.85,-4.00%,1.63%,1.7,327.2,1.87,6,-2.44%,611021,2/27/2017 16:30
32,ABEV,Ambev S.A.,Consumer Goods,Beverages - Brewers,Brazil,89801.71,25.54,22,8.51,5.86,6.43,,,1.92%,,0.22,-4.20%,13.00%,-26.09%,3.00%,,3.70%,-2.40%,Ambev S.A.,Beverages - Brewers,5978.25,,,,,0.58%,1.99,,,,,,,,,,,4.76%,6.72%,10.64%,Beverages - Brewers,Brazil,27.11%,16.50%,,0.12,1.96%,1.75%,4.30%,10.19%,2.46%,-2.72%,20.93%,-9.78%,32.10%,67.1,0.00%,-1.55%,2.7,17566.21,0.79,5.72,-1.55%,13799021,3/2/2017 8:30
33,ABG,"Asbury Automotive Group, Inc.",Services,Auto Dealerships,USA,1461.11,9.03,10.05,0.57,0.22,5.22,429.74,,,0.00%,7.48,15.30%,4.40%,39.00%,15.80%,9.50%,87.50%,1.60%,"Asbury Automotive Group, Inc.",Auto Dealerships,21.63,1.80%,-11.62%,93.80%,-2.77%,7.82%,7.01,,67.10%,12.20%,1.2,0.4,3.31,6.11,16.20%,5.30%,2.60%,2.89%,4.57%,15.67%,Auto Dealerships,USA,30.86%,9.48%,1.27,2.11,2.96%,3.16%,3.24%,5.54%,17.63%,-4.86%,15.08%,-4.86%,42.21%,58.81,2.50%,-0.08%,2.4,241.4,0.67,67.55,2.43%,161233,2/7/2017 8:30
34,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,23.12,,,,,0.87,0.98,,,,-1.7,45.00%,,46.50%,,,-64.90%,,"ARCA biopharma, Inc.",Biotechnology,8.99,0.90%,-5.59%,69.30%,-2.56%,0.89%,2.56,-44.60%,-47.30%,,11,11,0,0,,,,0.00%,0.00%,8.51%,Biotechnology,USA,-33.59%,-10.53%,2.19,0.12,3.89%,4.93%,-0.65%,-2.21%,-9.54%,-15.00%,13.33%,-41.38%,18.60%,50.36,2.00%,0.00%,2,31.36,1.28,2.55,2.00%,40152,3/16/2017 16:30
35,ABM,ABM Industries Incorporated,Services,Business Services,USA,2271.53,36.89,19.31,7.23,0.44,2.32,40.56,873.67,1.68%,64.30%,1.1,16.20%,12.65%,-2.90%,5.10%,3.90%,-45.30%,33.60%,ABM Industries Incorporated,Business Services,52.16,1.40%,-8.08%,94.00%,0.74%,3.30%,3.27,2.60%,5.80%,5.20%,1.7,1.7,0.28,0.28,10.10%,1.10%,1.10%,-0.42%,2.56%,-4.61%,Business Services,USA,29.12%,-0.69%,0.82,0.69,1.36%,1.67%,-0.07%,-0.42%,5.55%,-6.72%,5.29%,-9.93%,36.36%,50.37,-0.86%,-0.32%,2.8,526.45,0.43,40.39,-1.17%,226195,3/7/2017 16:30
36,ABMD,"ABIOMED, Inc.",Healthcare,Medical Appliances & Equipment,USA,4974.04,108.64,66.27,4.26,12,12.13,20.66,72.4,,0.00%,1.07,-68.00%,49.32%,36.20%,25.50%,26.60%,46.80%,33.70%,"ABIOMED, Inc.",Medical Appliances & Equipment,42.06,1.50%,-24.47%,94.80%,2.79%,4.67%,4.31,10.50%,12.30%,10.10%,5.7,5.1,0.04,0.04,84.10%,19.60%,11.60%,7.30%,3.89%,4.50%,Medical Appliances & Equipment,USA,43.35%,3.45%,0.49,2.98,2.61%,2.79%,6.94%,3.63%,3.12%,-3.57%,12.60%,-12.32%,51.39%,62.06,2.25%,-0.21%,1.6,455.36,1.2,116.57,2.03%,548470,1/26/2017 8:30
37,ABR,"Arbor Realty Trust, Inc.",Financial,REIT - Diversified,USA,381.37,15.48,10.56,1.93,2.34,0.78,5.33,3.22,8.74%,114.70%,0.47,-47.20%,17.46%,-27.20%,8.00%,8.10%,-48.50%,93.70%,"Arbor Realty Trust, Inc.",REIT - Diversified,44.12,0.90%,3.34%,53.10%,2.07%,0.23%,0.82,1.30%,5.70%,,,,3.62,3.62,58.90%,6.60%,16.70%,0.00%,-2.14%,-1.61%,REIT - Diversified,USA,27.55%,-1.88%,0.47,0.1,1.40%,1.39%,-1.12%,-1.54%,2.61%,-4.81%,5.78%,-6.42%,30.47%,44.38,-1.21%,-0.13%,2.3,124.74,0.78,7.32,-1.35%,96846,3/3/2017 8:30
38,ABT,Abbott Laboratories,Healthcare,Medical Appliances & Equipment,USA,76297.89,62.42,16.25,5.55,3.66,3.18,,,2.37%,109.90%,0.72,-58.60%,12.19%,0.00%,11.24%,-0.50%,11.10%,2.80%,Abbott Laboratories,Medical Appliances & Equipment,1707.27,0.30%,7.92%,65.20%,1.38%,0.78%,1.45,,,,,,,,56.80%,15.30%,6.70%,4.56%,10.62%,12.59%,Medical Appliances & Equipment,USA,18.92%,17.10%,1.43,0.62,1.32%,1.44%,6.14%,10.83%,11.00%,1.09%,20.20%,-1.15%,23.89%,82.85,1.18%,-0.07%,1.9,9159.32,1.05,44.69,1.11%,9632008,1/25/2017 8:30
